job id,job type,job policy,client name,schedule name,status code,start time,time elapsed,end time
806000,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-04,Weekly,0,19042026 22:31:23,3:23:44,20042026 01:55:07
806001,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-01,Weekly,1,19042026 11:20:44,3:32:51,19042026 14:53:35
806002,Backup,xhxb-db-web-windows,xhxb-db-web-04,Weekly,0,19042026 17:22:06,2:58:52,19042026 20:20:58
806003,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-03,Weekly,1,19042026 20:10:10,2:45:33,19042026 22:55:43
806004,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-02,Weekly,0,19042026 22:03:02,3:31:22,20042026 01:34:24
806005,Backup,xhxb-app-web-windows,xhxb-app-web-01,Weekly,0,19042026 21:24:36,1:58:57,19042026 23:23:33
806006,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-01,Weekly,0,19042026 11:30:19,4:06:59,19042026 15:37:18
806007,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-01,Weekly,2,19042026 22:34:53,3:39:59,20042026 02:14:52
806008,Backup,xhxb-pst-web-windows,xhxb-pst-web-02,Weekly,0,19042026 08:41:07,0:37:31,19042026 09:18:38
806009,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-04,Weekly,1,19042026 23:48:19,3:38:45,20042026 03:27:04
806010,Backup,xhxb-app-web-windows,xhxb-app-web-03,Weekly,1,19042026 08:22:44,3:13:21,19042026 11:36:05
806011,Backup,xhxb-db-web-windows,xhxb-db-web-04,Weekly,1,19042026 14:34:08,3:18:34,19042026 17:52:42
806012,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-04,Weekly,0,19042026 17:41:58,0:29:51,19042026 18:11:49
806013,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-02,Weekly,6,19042026 21:57:36,1:42:09,19042026 23:39:45
806014,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-02,Weekly,2,19042026 19:18:48,2:08:47,19042026 21:27:35
