job id,job type,job policy,client name,schedule name,status code,start time,time elapsed,end time
801000,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-01,Weekly,0,14042026 21:45:20,0:08:50,14042026 21:54:10
801001,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-02,Weekly,6,14042026 16:33:37,1:41:17,14042026 18:14:54
801002,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-01,Weekly,2,14042026 14:07:58,4:07:41,14042026 18:15:39
801003,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-03,Weekly,2,14042026 08:19:39,0:27:37,14042026 08:47:16
801004,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-03,Weekly,0,14042026 10:55:55,1:04:37,14042026 12:00:32
801005,Backup,xhxb-pst-web-windows,xhxb-pst-web-04,Weekly,0,14042026 17:05:19,3:21:22,14042026 20:26:41
801006,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-02,Weekly,0,14042026 07:17:25,0:50:05,14042026 08:07:30
801007,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-01,Weekly,2,14042026 06:48:55,0:16:37,14042026 07:05:32
801008,Backup,xhxb-app-webdb-windows,xhxb-app-webdb-03,Weekly,0,14042026 19:31:41,4:00:46,14042026 23:32:27
801009,Backup,xhxb-app-web-windows,xhxb-app-web-03,Weekly,0,14042026 18:08:02,0:18:47,14042026 18:26:49
801010,Backup,xhxb-db-web-windows,xhxb-db-web-02,Weekly,0,14042026 21:13:29,3:03:38,15042026 00:17:07
801011,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-03,Weekly,0,14042026 15:07:17,4:20:20,14042026 19:27:37
801012,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-03,Weekly,2,14042026 16:57:53,2:50:11,14042026 19:48:04
801013,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-02,Weekly,0,14042026 17:05:29,0:43:54,14042026 17:49:23
801014,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-02,Weekly,1,14042026 18:46:45,1:55:40,14042026 20:42:25
801015,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-02,Weekly,6,14042026 14:37:32,2:59:16,14042026 17:36:48
