job id,job type,job policy,client name,schedule name,status code,start time,time elapsed,end time
804000,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-04,Weekly,2,17042026 07:40:55,1:38:13,17042026 09:19:08
804001,Backup,xhxb-db-web-windows,xhxb-db-web-01,Weekly,2,17042026 08:33:43,0:33:52,17042026 09:07:35
804002,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-01,Weekly,0,17042026 10:27:41,2:14:17,17042026 12:41:58
804003,Backup,xhxb-app-web-windows,xhxb-app-web-01,Weekly,0,17042026 16:28:37,1:03:01,17042026 17:31:38
804004,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-03,Weekly,2,17042026 02:39:40,0:24:47,17042026 03:04:27
804005,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-02,Weekly,0,17042026 21:53:18,4:02:49,18042026 01:56:07
804006,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-01,Weekly,0,17042026 18:22:13,2:44:21,17042026 21:06:34
804007,Backup,xhxb-pst-web-windows,xhxb-pst-web-03,Weekly,1,17042026 16:52:52,3:06:17,17042026 19:59:09
804008,Backup,xhxb-db-web-windows,xhxb-db-web-03,Weekly,1,17042026 03:19:09,4:47:06,17042026 08:06:15
804009,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-02,Weekly,0,17042026 13:38:41,3:46:09,17042026 17:24:50
804010,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-02,Weekly,0,17042026 13:22:33,3:27:35,17042026 16:50:08
804011,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-02,Weekly,0,17042026 20:05:46,4:27:20,18042026 00:33:06
804012,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-03,Weekly,2,17042026 20:05:27,2:18:26,17042026 22:23:53
804013,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-02,Weekly,6,17042026 19:53:44,1:08:30,17042026 21:02:14
804014,Backup,xhxb-app-web-windows,xhxb-app-web-01,Weekly,0,17042026 23:05:26,4:56:11,18042026 04:01:37
804015,Backup,xhxb-app-web-windows,xhxb-app-web-04,Weekly,1,17042026 22:01:29,3:30:46,18042026 01:32:15
804016,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-04,Weekly,0,17042026 03:52:38,0:25:28,17042026 04:18:06
804017,Backup,xhxb-db-web-windows,xhxb-db-web-03,Weekly,1,17042026 01:37:18,0:37:19,17042026 02:14:37
804018,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-02,Weekly,1,17042026 15:42:06,0:34:06,17042026 16:16:12
804019,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-04,Weekly,0,17042026 03:25:19,4:35:27,17042026 08:00:46
804020,Backup,xhxb-db-web-windows,xhxb-db-web-01,Weekly,0,17042026 09:18:49,1:32:04,17042026 10:50:53
804021,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-03,Weekly,2,17042026 04:17:15,3:34:22,17042026 07:51:37
804022,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-04,Weekly,2,17042026 09:07:09,0:22:15,17042026 09:29:24
804023,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-01,Weekly,1,17042026 02:19:14,2:33:47,17042026 04:53:01
804024,Backup,xhxb-pst-web-windows,xhxb-pst-web-02,Weekly,0,17042026 03:52:22,2:01:00,17042026 05:53:22
804025,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-04,Weekly,2,17042026 00:43:16,0:12:54,17042026 00:56:10
804026,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-02,Weekly,0,17042026 23:19:47,3:31:31,18042026 02:51:18
804027,Backup,xhxb-pst-web-windows,xhxb-pst-web-01,Weekly,0,17042026 13:15:40,2:02:40,17042026 15:18:20
804028,Backup,xhxb-app-web-windows,xhxb-app-web-01,Weekly,2,17042026 02:53:38,3:41:51,17042026 06:35:29
804029,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-03,Weekly,2,17042026 21:04:28,4:05:20,18042026 01:09:48
804030,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-02,Weekly,0,17042026 17:15:50,1:26:38,17042026 18:42:28
804031,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-03,Weekly,0,17042026 10:13:27,2:31:12,17042026 12:44:39
804032,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-04,Weekly,0,17042026 10:39:20,1:37:48,17042026 12:17:08
804033,Backup,xhxb-pst-web-windows,xhxb-pst-web-04,Weekly,6,17042026 08:41:12,2:41:28,17042026 11:22:40
804034,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-03,Weekly,0,17042026 02:10:59,1:42:25,17042026 03:53:24
804035,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-04,Weekly,2,17042026 04:58:50,0:50:18,17042026 05:49:08
804036,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-04,Weekly,0,17042026 09:46:56,2:15:50,17042026 12:02:46
804037,Backup,xhxb-app-web-windows,xhxb-app-web-04,Weekly,2,17042026 16:38:31,2:36:27,17042026 19:14:58
804038,Backup,xhxb-app-webdb-windows,xhxb-app-webdb-03,Weekly,1,17042026 11:50:59,2:30:59,17042026 14:21:58
804039,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-01,Weekly,0,17042026 09:41:12,1:40:11,17042026 11:21:23
804040,Backup,xhxb-db-web-windows,xhxb-db-web-02,Weekly,0,17042026 21:23:50,2:04:46,17042026 23:28:36
804041,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-01,Weekly,0,17042026 04:33:29,4:51:27,17042026 09:24:56
804042,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-03,Weekly,0,17042026 03:58:15,1:42:38,17042026 05:40:53
804043,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-04,Weekly,6,17042026 03:15:10,2:59:01,17042026 06:14:11
804044,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-03,Weekly,0,17042026 09:31:00,3:59:12,17042026 13:30:12
804045,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-02,Weekly,0,17042026 00:14:40,0:25:47,17042026 00:40:27
804046,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-04,Weekly,0,17042026 06:25:12,4:11:42,17042026 10:36:54
804047,Backup,xhxb-pst-web-windows,xhxb-pst-web-04,Weekly,0,17042026 10:59:24,0:28:40,17042026 11:28:04
