job id,job type,job policy,client name,schedule name,status code,start time,time elapsed,end time
800000,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-01,Weekly,0,13042026 05:40:14,2:26:30,13042026 08:06:44
800001,Backup,xhxb-nsoc-webapp-windows,xhxb-nsoc-webapp-02,Weekly,6,13042026 19:32:20,4:35:30,14042026 00:07:50
800002,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-03,Weekly,0,13042026 21:40:04,2:39:26,14042026 00:19:30
800003,Backup,xhxb-app-webdb-windows,xhxb-app-webdb-02,Weekly,0,13042026 15:57:03,3:43:52,13042026 19:40:55
800004,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-01,Weekly,0,13042026 17:48:43,2:10:07,13042026 19:58:50
800005,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-01,Weekly,1,13042026 09:13:57,0:38:47,13042026 09:52:44
800006,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-04,Weekly,0,13042026 20:20:49,2:09:32,13042026 22:30:21
800007,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-01,Weekly,2,13042026 00:22:33,2:40:35,13042026 03:03:08
800008,Backup,xhxb-app-web-windows,xhxb-app-web-01,Weekly,0,13042026 05:43:07,0:21:23,13042026 06:04:30
800009,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-01,Weekly,0,13042026 04:05:07,2:47:00,13042026 06:52:07
800010,Backup,xhxb-app-web-windows,xhxb-app-web-03,Weekly,2,13042026 08:22:12,1:43:43,13042026 10:05:55
800011,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-02,Weekly,6,13042026 19:30:50,3:08:37,13042026 22:39:27
800012,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-04,Weekly,2,13042026 15:04:00,4:11:24,13042026 19:15:24
800013,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-04,Weekly,6,13042026 03:42:55,2:09:00,13042026 05:51:55
800014,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-03,Weekly,6,13042026 10:55:56,1:28:58,13042026 12:24:54
800015,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-03,Weekly,0,13042026 19:30:02,0:49:56,13042026 20:19:58
800016,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-02,Weekly,6,13042026 08:27:32,3:33:16,13042026 12:00:48
800017,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-04,Weekly,1,13042026 15:24:01,3:28:20,13042026 18:52:21
800018,Backup,xhxb-pst-webdb-windows,xhxb-pst-webdb-03,Weekly,0,13042026 03:11:58,2:48:39,13042026 06:00:37
800019,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-04,Weekly,2,13042026 05:48:46,3:06:53,13042026 08:55:39
800020,Backup,xhxb-app-web-windows,xhxb-app-web-04,Weekly,0,13042026 10:59:41,3:13:48,13042026 14:13:29
800021,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-04,Weekly,6,13042026 20:57:46,0:11:14,13042026 21:09:00
800022,Backup,xhxb-pst-webapp-windows,xhxb-pst-webapp-02,Weekly,0,13042026 08:54:37,0:45:36,13042026 09:40:13
800023,Backup,xhxb-db-web-windows,xhxb-db-web-01,Weekly,0,13042026 06:12:38,0:41:04,13042026 06:53:42
800024,Backup,xhxb-nsoc-web-windows,xhxb-nsoc-web-01,Weekly,0,13042026 13:33:43,3:15:00,13042026 16:48:43
800025,Backup,xhxb-app-web-windows,xhxb-app-web-03,Weekly,0,13042026 00:58:05,1:15:29,13042026 02:13:34
800026,Backup,xhxb-pst-web-windows,xhxb-pst-web-02,Weekly,0,13042026 18:49:13,4:49:14,13042026 23:38:27
800027,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-02,Weekly,0,13042026 11:05:51,4:20:55,13042026 15:26:46
800028,Backup,xhxb-pst-web-windows,xhxb-pst-web-02,Weekly,0,13042026 21:53:57,0:13:51,13042026 22:07:48
800029,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-04,Weekly,0,13042026 09:39:21,2:52:33,13042026 12:31:54
800030,Backup,xhxb-nsoc-webdb-windows,xhxb-nsoc-webdb-03,Weekly,6,13042026 10:06:21,3:23:31,13042026 13:29:52
800031,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-02,Weekly,0,13042026 06:55:05,4:35:12,13042026 11:30:17
800032,Backup,xhxb-db-webapp-windows,xhxb-db-webapp-01,Weekly,0,13042026 03:11:26,4:36:08,13042026 07:47:34
800033,Backup,xhxb-app-webapp-windows,xhxb-app-webapp-03,Weekly,0,13042026 17:29:29,2:50:40,13042026 20:20:09
800034,Backup,xhxb-pst-web-windows,xhxb-pst-web-01,Weekly,0,13042026 00:01:05,1:21:21,13042026 01:22:26
800035,Backup,xhxb-db-webdb-windows,xhxb-db-webdb-04,Weekly,0,13042026 23:16:15,2:41:39,14042026 01:57:54
